Date__c,From_Currency__c,To_Currency__c,Name,Rate__c
2022-04-12,NZD,AED,NZD-AED,2.513194
2022-04-12,NZD,AUD,NZD-AUD,0.917285
2022-04-12,NZD,CAD,NZD-CAD,0.860146
2022-04-12,NZD,CHF,NZD-CHF,0.63904
2022-04-12,NZD,CZK,NZD-CZK,15.362635
2022-04-12,NZD,DKK,NZD-DKK,4.676918
2022-04-12,NZD,EUR,NZD-EUR,0.628874
2022-04-12,NZD,GBP,NZD-GBP,0.52484
2022-04-12,NZD,NOK,NZD-NOK,5.950999
2022-04-12,NZD,PLN,NZD-PLN,2.912047
2022-04-12,NZD,SEK,NZD-SEK,6.459781
2022-04-12,NZD,USD,NZD-USD,0.684289
2022-04-12,AUD,AED,AUD-AED,2.739471
2022-04-12,AUD,CAD,AUD-CAD,0.93759
2022-04-12,AUD,CHF,AUD-CHF,0.696576
2022-04-12,AUD,CZK,AUD-CZK,16.745931
2022-04-12,AUD,DKK,AUD-DKK,5.098009
2022-04-12,AUD,EUR,AUD-EUR,0.685491
2022-04-12,AUD,GBP,AUD-GBP,0.572094
2022-04-12,AUD,NOK,AUD-NOK,6.486809
2022-04-12,AUD,NZD,AUD-NZD,1.088946
2022-04-12,AUD,PLN,AUD-PLN,3.17424
2022-04-12,AUD,SEK,AUD-SEK,7.041411
2022-04-12,AUD,USD,AUD-USD,0.745901
2022-04-12,SEK,AED,SEK-AED,0.388663
2022-04-12,SEK,AUD,SEK-AUD,0.141833
2022-04-12,SEK,CAD,SEK-CAD,0.133021
2022-04-12,SEK,CHF,SEK-CHF,0.098827
2022-04-12,SEK,CZK,SEK-CZK,2.375799
2022-04-12,SEK,DKK,SEK-DKK,0.723279
2022-04-12,SEK,EUR,SEK-EUR,0.097235
2022-04-12,SEK,GBP,SEK-GBP,0.081166
2022-04-12,SEK,NOK,SEK-NOK,0.920313
2022-04-12,SEK,NZD,SEK-NZD,0.154481
2022-04-12,SEK,PLN,SEK-PLN,0.450346
2022-04-12,SEK,USD,SEK-USD,0.105825
2022-04-12,DKK,AED,DKK-AED,0.537191
2022-04-12,DKK,AUD,DKK-AUD,0.196035
2022-04-12,DKK,CAD,DKK-CAD,0.183855
2022-04-12,DKK,CHF,DKK-CHF,0.136594
2022-04-12,DKK,CZK,DKK-CZK,3.283716
2022-04-12,DKK,EUR,DKK-EUR,0.134454
2022-04-12,DKK,GBP,DKK-GBP,0.112184
2022-04-12,DKK,NOK,DKK-NOK,1.272012
2022-04-12,DKK,NZD,DKK-NZD,0.213515
2022-04-12,DKK,PLN,DKK-PLN,0.622446
2022-04-12,DKK,SEK,DKK-SEK,1.380765
2022-04-12,DKK,USD,DKK-USD,0.146266
2022-04-12,NOK,AED,NOK-AED,0.421469
2022-04-12,NOK,AUD,NOK-AUD,0.153805
2022-04-12,NOK,CAD,NOK-CAD,0.144249
2022-04-12,NOK,CHF,NOK-CHF,0.107169
2022-04-12,NOK,CZK,NOK-CZK,2.576337
2022-04-12,NOK,DKK,NOK-DKK,0.784329
2022-04-12,NOK,EUR,NOK-EUR,0.105484
2022-04-12,NOK,GBP,NOK-GBP,0.088017
2022-04-12,NOK,NZD,NOK-NZD,0.16752
2022-04-12,NOK,PLN,NOK-PLN,0.488359
2022-04-12,NOK,SEK,NOK-SEK,1.083322
2022-04-12,NOK,USD,NOK-USD,0.114757
2022-04-12,GBP,AED,GBP-AED,4.786888
2022-04-12,GBP,AUD,GBP-AUD,1.746859
2022-04-12,GBP,CAD,GBP-CAD,1.638321
2022-04-12,GBP,CHF,GBP-CHF,1.21729
2022-04-12,GBP,CZK,GBP-CZK,29.261156
2022-04-12,GBP,DKK,GBP-DKK,8.90813
2022-04-12,GBP,EUR,GBP-EUR,1.197886
2022-04-12,GBP,NOK,GBP-NOK,11.334913
2022-04-12,GBP,NZD,GBP-NZD,1.902624
2022-04-12,GBP,PLN,GBP-PLN,5.546589
2022-04-12,GBP,SEK,GBP-SEK,12.304058
2022-04-12,GBP,USD,GBP-USD,1.303368
2022-04-12,EUR,AED,EUR-AED,3.994647
2022-04-12,EUR,AUD,EUR-AUD,1.45773
2022-04-12,EUR,CAD,EUR-CAD,1.367177
2022-04-12,EUR,CHF,EUR-CHF,1.01587
2022-04-12,EUR,CZK,EUR-CZK,24.406316
2022-04-12,EUR,DKK,EUR-DKK,7.435718
2022-04-12,EUR,GBP,EUR-GBP,0.834346
2022-04-12,EUR,NOK,EUR-NOK,9.461096
