Id,Baggage_Quantity__c,Booking__c,Booking_Class__c,Check_In_Status__c,Flight__c,Identifier__c,Is_Boarded__c,Trip_Type__c,Name,Booking__r.Id,Booking__r.Name,Flight__r.Id,Flight__r.Name
a0X1j0000035hrjEAA,0,a021j000008cjL3AAI,Q,Unknown,a0C1j000005BxVEEA0,ST5PT1,false,Outbound,a0X1j0000035hrj,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVEEA0,a0C1j000005BxVE
a0X1j0000035hrkEAA,0,a021j000008cjL3AAI,Q,Unknown,a0C1j000005BxVEEA0,ST5PT2,false,Outbound,a0X1j0000035hrk,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVEEA0,a0C1j000005BxVE
a0X1j0000035hrlEAA,0,a021j000008cjL3AAI,Q,Unknown,a0C1j000005BxVGEA0,ST10PT1,false,Outbound,a0X1j0000035hrl,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVGEA0,a0C1j000005BxVG
a0X1j0000035hrmEAA,0,a021j000008cjL3AAI,Q,Unknown,a0C1j000005BxVGEA0,ST10PT2,false,Outbound,a0X1j0000035hrm,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVGEA0,a0C1j000005BxVG
a0X1j0000035hrnEAA,0,a021j000008cjL3AAI,Q,Unknown,a0C1j000005BxVHEA0,ST13PT1,false,Inbound,a0X1j0000035hrn,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVHEA0,a0C1j000005BxVH
a0X1j0000035hroEAA,0,a021j000008cjL3AAI,Q,Unknown,a0C1j000005BxVHEA0,ST13PT2,false,Inbound,a0X1j0000035hro,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVHEA0,a0C1j000005BxVH
a0X1j0000035hrpEAA,0,a021j000008cjL3AAI,N,Unknown,a0C1j000005BxVFEA0,ST9PT1,false,Outbound,a0X1j0000035hrp,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVFEA0,a0C1j000005BxVF
a0X1j0000035hrqEAA,0,a021j000008cjL3AAI,N,Unknown,a0C1j000005BxVFEA0,ST9PT2,false,Outbound,a0X1j0000035hrq,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVFEA0,a0C1j000005BxVF
a0X1j0000035hrrEAA,0,a021j000008cjL3AAI,Q,Unknown,a0C1j000005BxVIEA0,ST14PT1,false,Inbound,a0X1j0000035hrr,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVIEA0,a0C1j000005BxVI
a0X1j0000035hrsEAA,0,a021j000008cjL3AAI,Q,Unknown,a0C1j000005BxVIEA0,ST14PT2,false,Inbound,a0X1j0000035hrs,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVIEA0,a0C1j000005BxVI
a0X1j0000035hrtEAA,0,a021j000008cjL3AAI,Y,Unknown,a0C1j000005BxVCEA0,ST1PT1,false,Outbound,a0X1j0000035hrt,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVCEA0,a0C1j000005BxVC
a0X1j0000035hruEAA,0,a021j000008cjL3AAI,Y,Unknown,a0C1j000005BxVCEA0,ST1PT2,false,Outbound,a0X1j0000035hru,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVCEA0,a0C1j000005BxVC
a0X1j0000035hrvEAA,0,a021j000008cjL3AAI,T,Unknown,a0C1j000005BxVDEA0,ST2PT1,false,Outbound,a0X1j0000035hrv,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVDEA0,a0C1j000005BxVD
a0X1j0000035hrwEAA,0,a021j000008cjL3AAI,T,Unknown,a0C1j000005BxVDEA0,ST2PT2,false,Outbound,a0X1j0000035hrw,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVDEA0,a0C1j000005BxVD
a0X1j0000035hrxEAA,0,a021j000008cjL3AAI,T,Unknown,a0C1j000005BxVJEA0,ST15PT1,false,Inbound,a0X1j0000035hrx,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVJEA0,a0C1j000005BxVJ
a0X1j0000035hryEAA,0,a021j000008cjL3AAI,T,Unknown,a0C1j000005BxVJEA0,ST15PT2,false,Inbound,a0X1j0000035hry,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVJEA0,a0C1j000005BxVJ
a0X1j0000035hrzEAA,0,a021j000008cjL3AAI,T,Unknown,a0C1j000005BxVKEA0,ST16PT1,false,Inbound,a0X1j0000035hrz,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVKEA0,a0C1j000005BxVK
a0X1j0000035hs0EAA,0,a021j000008cjL3AAI,T,Unknown,a0C1j000005BxVKEA0,ST16PT2,false,Inbound,a0X1j0000035hs0,a021j000008cjL3AAI,a021j000008cjL3,a0C1j000005BxVKEA0,a0C1j000005BxVK
